Orf,Beyer_Phi,SEMPPR_Mean_Phi,Ingolia_Phi
YAL001C,0.008886155,0.003381005,0.028932638
YAL002W,0.003230742,0.001894562,0.003984387
YAL003W,4.072689718,1.156861751,795.7693368
YAL005C,1.189554075,0.235712656,NA
YAL007C,0.092716824,0.124076144,3.982697499
YAL008W,0.07363238,0.037985119,0.211388756
YAL009W,0.024511087,0.028046592,0.075161035
YAL010C,0.008605737,0.021766899,0.033374001
YAL011W,0.016375849,0.014038277,0.010651226
YAL012W,1.261992885,0.082798821,5.245315412
YAL013W,0.06334094,0.006903462,0.043980857
YAL014C,0.027443449,0.011803741,0.096628063
YAL015C,0.025719213,0.016522626,0.041499105
YAL016W,0.243201085,0.01894788,1.714960357
YAL017W,0.009616618,0.00271107,0.014724451
YAL019W,0.038812768,0.007561519,0.072528407
YAL020C,0.024701162,0.010062504,0.034967197
YAL021C,0.077695156,0.0079013,0.109530162
YAL022C,0.092215233,0.006644112,0.24363487
YAL023C,0.322835408,0.028339622,0.847879738
YAL024C,0.002008246,0.00362852,0.003210734
YAL025C,0.088243347,0.088029166,3.137985309
YAL026C,0.003021893,0.007367782,0.040928583
YAL027W,0.029617693,0.018295364,0.127976932
YAL028W,0.006259554,0.00285312,NA
YAL029C,0.010700439,0.004321971,0.039569772
YAL030W,0.24035666,0.117653903,0.33457908
YAL031C,0.015267355,0.011268521,0.016732769
YAL032C,0.005799162,0.027047417,0.067703933
YAL033W,0.074531046,0.023635687,1.344048683
YAL034C,0.001525996,0.025445511,NA
YAL034W-A,0.006984606,0.021859803,0.042204484
YAL035W,0.285703892,0.028575232,5.360256577
YAL036C,0.349185119,0.066167766,2.944830812
YAL038W,14.56123419,0.438987435,1698.143167
YAL039C,0.237835699,0.039901639,0.101514783
YAL040C,0.01915893,0.028730907,0.010577096
YAL041W,0.01412289,0.004458699,0.089534872
YAL042W,0.462520236,0.009477878,3.625570494
YAL043C,0.022763694,0.004706428,0.059292144
YAL044C,1.007135201,0.057209304,41.65187637
YAL047C,0.006218822,0.011790246,0.022598963
YAL048C,0.002639973,0.01254251,0.008417474
YAL051W,0.016291971,0.007187772,0.015580371
YAL053W,0.148007665,0.014309157,0.149940122
YAL054C,0.003735487,0.030902657,NA
YAL055W,0.086690622,0.037099765,0.054216654
YAL056W,0.012598831,0.004501667,0.032248358
YAL058W,0.056622112,0.007937642,0.04467154
YAL059W,0.147678823,0.119894076,2.102398474
YAL060W,0.107141614,0.047892268,0.60494623
YAL062W,0.028649012,0.02610796,NA
YAL063C,0.000670982,0.012672942,NA
YAL064W,0.005306986,0.039937912,NA
YAL067C,0.003482367,0.021520813,NA
YAR002C-A,0.330566424,0.228242489,7.960728247
YAR002W,0.088840717,0.020272638,0.424010008
YAR003W,0.017361093,0.009508539,0.113129168
