"","Model","df","logLik","AIC","BIC"
"1","JTT",221,-307153.234954178,614748.469908357,616660.901094787
"2","JTT+I",222,-302773.693810359,605991.387620718,607912.472341928
"3","JTT+G",222,-301882.278335478,604208.556670956,606129.641392167
"4","JTT+G+I",223,-301881.06051148,604208.12102296,606137.859278951
"5","LG",221,-304737.554235349,609917.108470697,611829.539657128
"6","LG+I",222,-300479.832950158,601403.665900316,603324.750621526
"7","LG+G",222,-299506.060483662,599456.120967323,601377.205688534
"8","LG+G+I",223,-299505.161155374,599456.322310748,601386.060566739
"9","WAG",221,-305919.992235407,612281.984470814,614194.415657245
"10","WAG+I",222,-302298.859252959,605041.718505917,606962.803227128
"11","WAG+G",222,-301653.655401792,603751.310803584,605672.395524794
"12","WAG+G+I",223,-301652.882573427,603751.765146854,605681.503402845
"13","Dayhoff",186,-309851.373111211,620074.746222422,621684.303691545
"14","Dayhoff+I",187,-305333.719987609,611041.439975218,612659.65097912
"15","Dayhoff+G",187,-304354.166349111,609082.332698221,610700.543702124
"16","Dayhoff+G+I",188,-304352.761542752,609081.523085504,610708.387624187
"17","cpREV",192,-306356.788315232,613097.576630464,614759.055308268
"18","cpREV+I",193,-302504.772001862,605395.544003723,607065.676216308
"19","cpREV+G",193,-301659.161178141,603704.322356281,605374.454568865
"20","cpREV+G+I",194,-301658.712494748,603705.424989495,605384.21073686
"21","mtmam",113,-331988.370506422,664202.741012843,665180.590443009
"22","mtmam+I",114,-322712.209881076,645652.419762152,646638.922727098
"23","mtmam+G",114,-318484.46514885,637196.930297701,638183.433262647
"24","mtmam+G+I",115,-318478.947278377,637187.894556754,638183.051056481
"25","mtArt",123,-326828.625318103,653903.250636206,654967.635414174
"26","mtArt+I",124,-318900.539400534,638049.078801068,639122.117113816
"27","mtArt+G",124,-315398.606988527,631045.213977054,632118.252289802
"28","mtArt+G+I",125,-315395.607270301,631041.214540601,632122.90638813
"29","mtREV24",190,-322316.271628766,645012.543257533,646656.714865776
"30","mtREV24+I",191,-316807.467638353,633996.935276706,635649.76041973
"31","mtREV24+G",191,-314966.337706868,630314.675413736,631967.50055676
"32","mtREV24+G+I",192,-314965.337822074,630314.675644148,631976.154321952
